1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.2395,-0.59221,-1.0579,-1.5177,-0.091428,0.33171,0.93086,0.50315,0.47498,-0.53214,0.60052,0.1107,0.51941,0.40688,-0.7484,-0.37987,0.26315,-0.36512,1.4482,-0.28863,-0.63332,-0.45384,0.29436,-0.3094,1.1645,-0.70787,1.1546,0.66123,0.24758,-0.76434,-0.63715,-0.31772,0.13956,-0.29624,-0.64699,-0.25115,-0.20621,-0.14418,-0.22415,-1.3696,-1.2169,-1.599,-1.2484
0.35347,-0.34836,-0.81261,-0.35752,0.6018,1.0831,0.47358,-1.9304,-0.95089,-0.21115,-0.12399,0.16385,0.32962,0.76304,-0.97483,-0.10028,-0.20605,-0.89431,1.4791,-0.15697,-0.95905,-0.048652,-0.048593,-0.23892,0.72085,-0.41854,0.90908,0.62163,0.35241,-0.77688,-0.66338,-0.72364,-1.783,-0.15682,-0.42658,0.026088,-0.27625,-0.26005,1.2184,0.23758,0.5045,-0.66677,-0.9941
0.54053,-0.63291,-0.1843,-0.68463,-0.50548,0.5942,0.52097,0.48052,-1.256,-0.66596,0.48953,0.2638,0.47409,0.45058,-0.53424,-0.94514,0.35711,-0.8463,0.52911,-0.12131,-0.67515,0.056039,0.90752,-0.72957,0.87375,-0.76439,1.5933,0.72378,0.2566,-0.7452,-0.67217,-0.59884,-1.7216,-1.0128,-0.26854,-0.63688,-0.34131,0.10294,1.4648,-0.67858,-0.63715,-0.12102,-0.74726
0.44994,0.25555,-0.30538,-0.036801,0.52621,0.80754,1.1162,0.70056,0.70152,1.0724,0.99929,0.27114,-0.38973,0.98266,-0.29003,1.4114,0.65656,-0.79716,-0.29634,1.0173,1.0299,0.82581,1.1765,0.53844,0.89343,-0.19245,-1.4655,-1.1638,0.365,1.1458,-0.65469,-0.64867,0.42745,-0.31783,-0.26098,-0.54061,-0.039573,-0.54486,-0.46777,-0.23072,0.10876,0.27464,-0.96423
0.61029,0.25415,1.2346,0.29484,-0.27709,-1.245,-0.32774,-0.81038,-0.79736,0.64023,0.45813,0.82874,0.78453,-0.53662,0.93526,-0.38472,-1.3456,1.0337,-0.64801,-0.32953,-0.034922,0.83865,0.097281,0.46853,-0.076293,-0.22024,0.15642,-0.10729,0.82091,-0.90014,-1.0152,-0.15093,0.1533,-0.29943,-0.42111,-0.60873,-0.22585,0.19016,-0.48627,0.70412,0.44698,-0.2252,1.3425
0.52036,0.58734,1.3017,0.71877,-0.25473,-1.0102,-0.62131,-0.65403,-1.3138,0.57936,0.33587,0.82047,0.17062,-0.37168,1.27,-0.15274,-1.4071,1.1275,-0.53874,-0.48893,0.31145,0.28298,0.03138,0.28646,-0.36956,-0.5,-0.071886,-0.22498,0.72101,-1.1344,-0.4728,-0.7098,0.0458,-0.33225,-0.42684,-0.35935,-0.2783,-0.21822,-0.24391,0.74027,1.0425,-0.53846,1.2568
-0.7623,0.943,-0.66319,0.72639,-0.26903,1.5902,0.29872,2.7228,-1.4656,-0.51577,0.57035,-0.34257,-0.12033,0.417,-0.39762,-0.092756,0.85206,0.59016,-0.60137,-1.6502,-0.47757,-1.5033,-0.37563,-0.4825,-0.59407,-0.10424,-0.50879,-0.44137,-2.7876,-1.2962,-0.9203,-0.51702,-1.1391,-2.1227,-0.24344,-0.25348,-0.16601,-0.023053,-0.53162,1.4525,-0.6967,-0.8875,-0.66714
0.4205,-2.4274,-1.292,-1.3869,-0.70757,-0.30801,-0.32673,0.31005,-1.014,-0.62051,-0.50548,-0.89042,-0.44764,-1.2414,-2.1767,-0.93361,-0.47106,-2.0078,2.1065,-0.7665,-1.2834,-0.15476,-2.1228,-0.11163,-0.53054,-0.50637,0.31834,-0.068086,-0.099075,1.8228,1.8736,-1.0985,0.35933,0.47298,3.2344,2.6848,8.6519,-0.4092,2.2916,-1.8054,-1.897,-0.84619,-1.2295
1.2104,-0.95976,-1.0735,-1.377,-0.57272,0.40716,1.1293,0.72209,0.14758,-0.91941,0.12719,0.21099,0.68227,-1.2162,0.082511,-0.19913,0.8544,-0.44073,1.7225,-0.34572,-1.1063,-0.41978,0.6124,-0.54375,1.234,-0.40305,1.8699,1.3835,0.13683,-0.77624,-0.87765,-0.50074,0.58738,2.2928,0.030602,-0.3092,-0.33569,-0.26902,-0.027122,-1.3982,-1.107,-1.4954,-1.044
-2.6545,1.3784,0.63724,-0.019351,0.88318,1.0515,1.118,2.1171,1.8561,2.078,1.5369,1.0598,0.31721,1.1517,1.6154,0.58191,1.8934,0.78154,1.7744,1.828,2.4122,2.1478,0.11442,1.6969,2.8856,3.9313,0.18726,2.8665,0.71051,1.9583,2.6057,3.3342,0.94705,0.06979,-0.00017903,-0.70638,-0.037221,-0.43835,-0.45236,-0.31439,-0.0025507,0.33573,-1.1494
