1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0.73402,-0.68639,-1.5007,-1.1763,0.21684,0.41593,-0.31403,1.4689,0.8674,-1.5921,-0.43579,-0.82727,0.13013,0.75704,-1.4502,-1.2606,-0.12157,-0.70545,-0.93149,-1.368,-1.8226,-2.1379,-2.082,-1.8602,-1.2034,-0.70226,-1.6112,-1.2845,0.11471,0.91535,0.76515,-0.43464,-0.51666,3.0157,3.5772,2.4889,6.1607,-0.12342,2.0168,-1.2062,-2.1661,-0.70182,-0.44374
0.59091,0.94073,0.87385,1.2904,-0.5426,-1.1542,-0.038608,-0.54707,-0.87211,-0.081814,0.0065348,0.72332,0.77262,0.03424,0.79332,-0.40361,-1.3332,0.8165,-0.67419,-0.11612,-0.19625,0.8424,-0.21211,0.51782,0.0042442,-0.34264,-0.20005,0.0016842,0.78709,-1.1108,-0.84091,-0.33916,0.24426,-0.36519,-0.45666,-0.40352,-0.12438,-0.14046,-0.23333,1.4376,1.099,-0.07102,1.0405
-1.5878,0.71599,-0.064765,0.88189,0.32807,1.2422,1.2153,2.1261,0.7718,1.9,0.83285,0.33508,0.47733,0.49536,1.1506,0.16923,1.114,-0.82962,1.7208,1.3003,1.3328,1.0574,-0.060418,1.1734,2.6028,3.6668,0.20355,2.442,0.28064,1.5667,2.2239,2.5546,0.72629,-0.059928,-0.47116,-0.64095,-0.12376,-0.19882,-0.64522,0.26398,0.76135,0.1222,-0.77889
0.5843,-1.4515,-0.46991,-1.1705,-0.77157,-0.13445,1.0845,0.15386,0.41042,-0.53449,0.22361,-0.077103,0.37248,-0.40347,-0.4452,-1.1132,0.18043,-1.1216,2.8173,-0.48389,-0.36561,-0.30807,0.39665,0.55211,1.0983,-0.36245,1.2432,0.97212,-0.086816,0.79604,0.36377,-0.52255,-2.3407,2.1663,-0.13719,1.7905,-0.28916,-0.026068,1.7284,-1.2793,-1.6779,-1.2383,-1.3652
0.54014,-2.2498,-1.1895,-2.0672,-0.76639,-0.077837,0.34803,0.20828,0.16767,-1.2001,-0.27137,-0.54081,0.13324,-0.61957,-1.469,-3.6179,-0.59959,-1.5894,1.413,-1.1965,-1.3625,-0.94927,-1.2103,-0.44422,-0.41607,-0.26928,0.17915,0.18473,0.22073,-1.0399,-0.76557,-0.36481,-2.5831,-2.1267,-0.14081,-0.58126,0.031348,0.11822,-0.19616,-2.5974,-2.1788,-1.8395,-0.6603
-2.4793,1.0057,-0.052666,0.77097,0.71399,1.4527,1.2714,2.0448,2.0055,1.8469,0.76248,1.0531,0.17275,0.38404,1.9491,-0.066749,0.56122,0.48894,1.7648,1.6024,2.0069,1.7624,-0.17457,1.5653,2.1104,3.4384,0.63139,2.114,1.8016,1.6208,2.1989,2.7829,0.74943,0.97054,-0.29657,-0.63319,0.0019159,-0.33962,-0.48263,0.30006,0.65508,1.2037,-0.78502
0.70619,-1.3436,-0.9029,-1.5922,-0.31927,0.14912,0.42308,0.55092,-0.21139,0.32669,0.45979,-0.030616,0.71371,0.88374,-0.53032,0.70846,0.09493,-0.90145,0.94976,-0.88344,-0.494,-0.075536,0.29144,-0.38136,0.19953,-0.44148,0.4432,0.32299,0.060006,0.93447,0.85532,-0.75632,1.1195,0.49051,-0.55125,2.0597,-0.36233,8.8322,-0.66489,-1.9055,-1.737,-1.6458,-0.9242
0.38488,0.07065,1.2054,-0.096588,-0.11476,-1.5854,-0.31126,-0.37752,-0.58491,0.58848,-0.069487,0.59261,0.55847,-0.3406,0.7986,-0.80703,-1.4627,1.1143,-0.39944,-0.11561,-0.042674,0.4142,0.51884,0.82636,-0.10912,-0.39206,0.42519,-0.30095,0.69435,-1.4009,-0.8532,-0.28415,-0.25088,0.055435,-0.49218,-0.68848,-0.055866,0.27665,-0.32063,0.11302,0.1742,-0.65683,1.1522
0.44467,0.18765,1.397,0.5594,-0.1209,-1.3961,-0.56938,-0.29334,0.09977,0.92475,-0.41096,0.28462,0.65383,0.19328,1.4883,-0.45431,-1.2272,1.0408,-0.28211,-0.66406,-0.32582,0.70998,0.61601,0.24848,-0.23512,-0.56485,0.065632,-0.26644,1.0033,-0.93556,-0.67383,-0.50774,-0.01236,-0.44055,-0.076668,0.201,-0.35806,-0.036398,-0.29195,0.86387,0.39191,-0.24431,0.85379
0.84833,-2.2716,-0.91666,-1.4226,0.16584,-0.06561,-0.57228,-0.53797,0.99804,-0.51377,1.1706,-0.71387,0.76008,0.6373,-1.4177,-0.019441,0.57394,-1.0097,1.3127,-0.96852,-0.19154,-0.82313,-2.0528,-0.58771,0.017338,-0.44514,0.045189,-0.19282,0.050058,1.5497,1.5652,-0.52819,0.51584,-0.44832,-0.30024,-0.56306,-0.062308,-0.17979,-0.61386,0.076178,-0.15047,0.089088,-1.0831
